Configuration	SmartValveCube
STM8CubeMX 	1.5.0
Date	11/03/2020
MCU	STM8L052R8Tx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN3	ADC1_IN3	PC7
LCD	1/8 Duty Cycle	LCD_COM0	PA4
LCD	1/8 Duty Cycle	LCD_COM1	PA5
LCD	1/8 Duty Cycle	LCD_COM2	PA6
LCD	1/8 Duty Cycle	LCD_COM3	PD1
LCD	1/8 Duty Cycle	LCD_COM4	PF4
LCD	1/8 Duty Cycle	LCD_COM5	PF5
LCD	1/8 Duty Cycle	LCD_COM6	PF6
LCD	1/8 Duty Cycle	LCD_COM7	PF7
LCD	SEG0	LCD_SEG0	PA7
LCD	SEG1	LCD_SEG1	PE0
LCD	SEG2	LCD_SEG2	PE1
LCD	SEG3	LCD_SEG3	PE2
LCD	SEG4	LCD_SEG4	PE3
LCD	SEG5	LCD_SEG5	PE4
LCD	SEG6	LCD_SEG6	PE5
LCD	SEG7	LCD_SEG7	PD0
LCD	SEG8	LCD_SEG8	PD2
LCD	SEG9	LCD_SEG9	PD3
LCD	SEG10	LCD_SEG10	PB0
LCD	SEG11	LCD_SEG11	PB1
LCD	SEG12	LCD_SEG12	PB2
LCD	SEG13	LCD_SEG13	PB3
LCD	SEG14	LCD_SEG14	PB4
LCD	SEG15	LCD_SEG15	PB5
RCC	Crystal/Ceramic Resonator	RCC_OSC32_IN	PC5
RCC	Crystal/Ceramic Resonator	RCC_OSC32_OUT	PC6
RTC	Internal Alarm A	RTC_VS_RTC_Alarm_A_Intern	VP_RTC_VS_RTC_Alarm_A_Intern
RTC	Internal WakeUp	RTC_VS_RTC_WakeUp_intern	VP_RTC_VS_RTC_WakeUp_intern
RTC	Calibration 1Hz	RTC_CALIB	PD6
SYS	SWIM Input and Output	SYS_SWIM	PA0
SYS	Internal voltage reference Output	SYS_VREFINT	PD7
TIM1	Output CH2	TIM1_CH2	PD4



Pin Nb	PINs	FUNCTIONs	LABELs
1	PA0	SYS_SWIM	
5	PA4	LCD_COM0	
6	PA5	LCD_COM1	
7	PA6	LCD_COM2	
8	PA7	LCD_SEG0	
19	PE0	LCD_SEG1	
20	PE1	LCD_SEG2	
21	PE2	LCD_SEG3	
22	PE3	LCD_SEG4	
23	PE4	LCD_SEG5	
24	PE5	LCD_SEG6	
25	PD0	LCD_SEG7	
26	PD1	LCD_COM3	
27	PD2	LCD_SEG8	
28	PD3	LCD_SEG9	
31	PB0	LCD_SEG10	
32	PB1	LCD_SEG11	
33	PB2	LCD_SEG12	
34	PB3	LCD_SEG13	
35	PB4	LCD_SEG14	
36	PB5	LCD_SEG15	
41	PF4	LCD_COM4	
42	PF5	LCD_COM5	
43	PF6	LCD_COM6	
44	PF7	LCD_COM7	
45	PD4	TIM1_CH2	
47	PD6	RTC_CALIB	
48	PD7	SYS_VREFINT	
60	PC5	RCC_OSC32_IN	
61	PC6	RCC_OSC32_OUT	
62	PC7	ADC1_IN3	
